Models	Hd_A	Hd_F	CN_1	CN_2	Ca4227	G4300	Hg_A	Hg_F	Fe4383	Ca4455	Fe4531	C4668	H_beta	Fe5015	Mg_1	Mg_2	Mg_b	Fe5270	Fe5335	Fe5406	Fe5709	Fe5782	Na_D	TiO_1	TiO_2	
Mbi1.30Zm1.26T13.5000_iTp0.40_Ep0.40.fits.txt	4.02743371603	3.57321809561	-0.0906068522754	-0.0428269721938	0.496332304275	2.47054347197	1.87613879172	2.52088463389	0.747321696512	0.36032955764	1.48447694718	0.804465496707	3.0055676194	2.01753745595	0.0221280527497	0.0680518288937	1.28780624973	1.21422482005	1.1956485916	0.626842329052	0.315782065669	0.23897861956	1.33898888732	0.0172804732549	0.0285713516161	
Mbi1.30Zm1.26T14.0000_iTp0.40_Ep0.40.fits.txt	3.82793770744	3.46215416459	-0.0866720134245	-0.0394024412481	0.497856471718	2.55697572485	1.66815862949	2.39550958797	0.778450720116	0.364813586895	1.48711185514	0.799938009895	2.93070125762	2.01602858692	0.0226650298173	0.0685114412494	1.28354467185	1.22098035296	1.20256450239	0.634846663409	0.319373526623	0.241783455134	1.34997539312	0.0169058315769	0.027680521836	
Mbi1.30Zm1.49T00.0800_iTp0.40_Ep0.40.fits.txt	6.38645226225	5.43551993018	-0.123039827413	-0.0543450080644	0.0990718589531	-0.702150017459	6.22546687557	5.38371827443	0.013541581283	0.399031743315	0.369916767037	0.00864571982835	5.18280820174	0.808346541427	0.00926343477404	0.0198646533083	0.209013895248	0.301577416031	0.384361797611	0.205930680572	0.0947945228734	0.161121851672	0.549195059079	0.00815252402905	0.00691409667079	
Mbi1.30Zm1.49T00.0900_iTp0.40_Ep0.40.fits.txt	6.65744168671	5.5987615043	-0.12974923887	-0.0604109243259	0.109581778788	-0.720778858519	6.45779531378	5.50834780631	-0.0939434449756	0.358539341353	0.416584801304	0.068656895363	5.25111186925	0.854790114484	0.0110250736266	0.0235071804255	0.254395508531	0.36111159493	0.443864803095	0.252105921345	0.126505514743	0.188500397571	0.600430060381	0.00946530019812	0.0115485512688	
Mbi1.30Zm1.49T00.1000_iTp0.40_Ep0.40.fits.txt	6.7951833603	5.70259624975	-0.133111748508	-0.0628028389459	0.113180561945	-0.719211749819	6.57368500268	5.58949413682	-0.123567539032	0.339373134907	0.437329461139	0.0649333148386	5.31333397417	0.87132073663	0.0117006176644	0.0251547739094	0.282280890051	0.381301444024	0.461016782988	0.271843100173	0.133364708062	0.19544374023	0.626057516618	0.0104306090571	0.0142530869705	
Mbi1.30Zm1.49T00.1500_iTp0.40_Ep0.40.fits.txt	7.26952082576	5.96574816102	-0.146241420048	-0.0758398658118	0.133417820721	-0.646419151169	6.89137851888	5.73214995776	-0.33686374773	0.225640703008	0.502278854282	0.149314016889	5.3658547694	0.895874642108	0.0138158384822	0.0299751295959	0.383813743541	0.458527740193	0.531770456071	0.304678426267	0.164351226349	0.205342437663	0.693959608048	0.0112982377661	0.0173660168029	
Mbi1.30Zm1.49T00.2000_iTp0.40_Ep0.40.fits.txt	7.76912526752	6.30905192903	-0.158170776387	-0.0862291805092	0.139632012858	-0.714500641095	7.32177650046	6.02249802568	-0.40777101954	0.166995873154	0.498134927835	0.172216533639	5.6240505266	0.851344656225	0.0129223783736	0.0297791567588	0.421792296761	0.443572420776	0.523775084113	0.283800636933	0.152685064358	0.191116865587	0.702289010826	0.0113280936214	0.0164471512865	
Mbi1.30Zm1.49T00.2500_iTp0.40_Ep0.40.fits.txt	7.88984967117	6.36168535589	-0.160848281863	-0.0896547333496	0.137918487195	-0.679873217076	7.34106834652	6.02092745067	-0.412385755657	0.16802241909	0.516189811776	0.155819073754	5.6070379788	0.873904701356	0.0118383468592	0.029911202653	0.457402641373	0.461105062293	0.529254659946	0.282584602984	0.146335919885	0.184035659842	0.66818291202	0.0119209493769	0.0160461371389	
Mbi1.30Zm1.49T00.3000_iTp0.40_Ep0.40.fits.txt	8.27131097308	6.55740166087	-0.169014483777	-0.0983156622379	0.13521008354	-0.784060142685	7.67452890973	6.20075165379	-0.48779658876	0.171152785642	0.511095559592	0.16375758303	5.75047490096	0.836795087949	0.010403584542	0.0275994598992	0.465292171579	0.45447094889	0.524958500185	0.245648785943	0.133133539566	0.155238992751	0.64244641671	0.0117879995723	0.0149633379829	
Mbi1.30Zm1.49T00.3500_iTp0.40_Ep0.40.fits.txt	8.51395504744	6.66537521249	-0.174794240844	-0.104220298704	0.141856262942	-0.848184653707	7.8947441442	6.31027696956	-0.587311561586	0.15172546959	0.526210385161	0.141025852186	5.83775662264	0.843774241497	0.00984774757841	0.0280172070552	0.488374805214	0.462137142425	0.531378594249	0.252687138845	0.132818857045	0.155155764171	0.662797366197	0.012297278925	0.0160438997953	
